Season,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
2024-2025,Brentford,28,33.0,56,373,148,39.7,11.3,4.48,0.14,0.34,15.2,10,5,5,49.7,45.8,0.13,6.3,5.2
2024-2025,Brighton,31,33.0,51,452,152,33.6,13.7,4.61,0.1,0.3,17.1,24,5,5,50.7,46.9,0.11,0.3,-0.9
2024-2025,Chelsea,29,33.0,56,537,183,34.1,16.27,5.55,0.1,0.29,16.8,16,3,4,61.3,58.1,0.11,-5.3,-5.1
2024-2025,Crystal Palace,29,33.0,39,433,145,33.5,13.12,4.39,0.09,0.26,17.1,18,2,3,49.6,47.2,0.11,-10.6,-10.2
2024-2025,Everton,26,33.0,31,352,116,33.0,10.67,3.52,0.08,0.25,17.1,10,2,2,35.9,34.3,0.1,-4.9,-5.3
2024-2025,Fulham,26,33.0,47,432,143,33.1,13.09,4.33,0.1,0.31,16.5,8,3,4,42.8,39.6,0.09,4.2,4.4
2024-2025,Ipswich Town,32,33.0,32,313,105,33.5,9.48,3.18,0.1,0.29,17.6,10,2,2,30.3,28.8,0.09,1.7,1.2
2024-2025,Leicester City,30,33.0,27,289,91,31.5,8.76,2.76,0.09,0.27,17.4,6,2,2,28.0,26.5,0.09,-1.0,-1.5
2024-2025,Liverpool,24,33.0,75,557,194,34.8,16.88,5.88,0.12,0.34,15.9,8,9,9,72.2,65.2,0.12,2.8,0.8
2024-2025,Manchester City,29,33.0,63,523,187,35.8,15.85,5.67,0.12,0.33,16.9,17,2,3,59.8,57.4,0.11,3.2,3.6
2024-2025,Manchester Utd,31,33.0,36,436,142,32.6,13.21,4.3,0.08,0.23,17.2,14,3,3,43.4,41.0,0.1,-7.4,-8.0
2024-2025,Newcastle Utd,24,33.0,60,437,139,31.8,13.24,4.21,0.13,0.41,15.9,10,3,4,55.4,52.2,0.12,4.6,4.8
2024-2025,Nott'ham Forest,23,33.0,52,399,142,35.6,12.09,4.3,0.12,0.35,17.7,12,3,3,39.6,37.3,0.1,12.4,11.7
2024-2025,Southampton,35,33.0,23,311,97,31.2,9.42,2.94,0.07,0.24,16.4,6,0,2,29.6,27.9,0.09,-6.6,-4.9
2024-2025,Tottenham,31,33.0,58,464,169,36.4,14.06,5.12,0.12,0.33,15.9,10,2,3,54.3,52.0,0.12,3.7,4.0
2024-2025,West Ham,27,33.0,34,415,116,28.0,12.58,3.52,0.07,0.27,16.4,13,3,3,41.0,38.7,0.1,-7.0,-7.7
2024-2025,Wolves,30,33.0,47,365,138,37.8,11.06,4.18,0.13,0.34,18.1,17,0,0,38.0,38.0,0.11,9.0,9.0
