Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,A_MP,A_W,A_D,A_L,A_GF,A_GA,A_GD,A_Pts,A_Pts/MP,A_xG,A_xGA,A_xGD,A_xGD/90
2017-2018,15,Brighton,19,7,8,4,24,25,-1,29,1.53,23.8,22.0,1.8,0.1,19,2,5,12,10,29,-19,11,0.58,13.2,28.8,-15.6,-0.82
2017-2018,16,Huddersfield,19,6,5,8,16,25,-9,23,1.21,17.4,21.2,-3.8,-0.2,19,3,5,11,12,33,-21,14,0.74,13.9,27.3,-13.4,-0.7
2017-2018,17,Southampton,19,4,7,8,20,26,-6,19,1.0,23.4,18.0,5.4,0.28,19,3,8,8,17,30,-13,17,0.89,16.5,27.2,-10.7,-0.56
2017-2018,18,Swansea City,19,6,3,10,17,24,-7,21,1.11,21.0,25.5,-4.5,-0.23,19,2,6,11,11,32,-21,12,0.63,10.6,33.2,-22.6,-1.19
2017-2018,19,Stoke City,19,5,5,9,20,30,-10,20,1.05,20.0,29.3,-9.4,-0.49,19,2,7,10,15,38,-23,13,0.68,16.5,33.2,-16.7,-0.88
2017-2018,20,West Brom,19,3,9,7,21,29,-8,18,0.95,22.1,20.3,1.9,0.1,19,3,4,12,10,27,-17,13,0.68,14.3,27.7,-13.3,-0.7
2018-2019,1,Manchester City,19,18,0,1,57,12,45,54,2.84,50.1,13.5,36.6,1.93,19,14,2,3,38,11,27,44,2.32,34.2,11.3,23.0,1.21
2018-2019,2,Liverpool,19,17,2,0,55,10,45,53,2.79,42.2,13.2,28.9,1.52,19,13,5,1,34,12,22,44,2.32,31.6,15.6,16.0,0.84
2018-2019,3,Chelsea,19,12,6,1,39,12,27,42,2.21,31.0,14.4,16.6,0.87,19,9,3,7,24,27,-3,30,1.58,27.6,22.0,5.6,0.29
2018-2019,4,Tottenham,19,12,2,5,34,16,18,38,2.0,31.3,24.3,6.9,0.36,19,11,0,8,33,23,10,33,1.74,23.6,22.8,0.8,0.04
2018-2019,5,Arsenal,19,14,3,2,42,16,26,45,2.37,34.6,23.5,11.0,0.58,19,7,4,8,31,35,-4,25,1.32,25.5,30.7,-5.2,-0.27
2018-2019,6,Manchester Utd,19,10,6,3,33,25,8,36,1.89,31.8,21.6,10.2,0.54,19,9,3,7,32,29,3,30,1.58,29.7,29.0,0.6,0.03
